,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Oriëntatie,Woningtype,Klimaatbestand,Ruimtetype,GTO
1,0.3,Slecht,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
3,0.5,Slecht,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
5,0.7,Slecht,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,32
7,0.3,Matig,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
9,0.5,Matig,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
11,0.7,Matig,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,41
13,0.3,Goed,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
15,0.5,Goed,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,29
17,0.7,Goed,0.6,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,76
19,0.3,Slecht,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
21,0.5,Slecht,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
23,0.7,Slecht,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
25,0.3,Matig,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
27,0.5,Matig,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
29,0.7,Matig,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
31,0.3,Goed,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
33,0.5,Goed,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
35,0.7,Goed,0.3,TO-juli,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
37,0.3,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
39,0.5,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
41,0.7,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,33
43,0.3,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
45,0.5,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
47,0.7,Matig,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,39
49,0.3,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
51,0.5,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,22
53,0.7,Goed,0.6,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,59
55,0.3,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
57,0.5,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
59,0.7,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
61,0.3,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
63,0.5,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
65,0.7,Matig,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,1
67,0.3,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
69,0.5,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
71,0.7,Goed,0.3,21:00 tot 7:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,4
73,0.3,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
75,0.5,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,73
77,0.7,Slecht,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,97
79,0.3,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,65
81,0.5,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,86
83,0.7,Matig,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,116
85,0.3,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
87,0.5,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,109
89,0.7,Goed,0.6,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,148
91,0.3,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,42
93,0.5,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,49
95,0.7,Slecht,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,58
97,0.3,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,48
99,0.5,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,55
101,0.7,Matig,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,67
103,0.3,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,63
105,0.5,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,68
107,0.7,Goed,0.3,8:00 tot 22:00,Binnen slecht,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,80
109,0.3,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
111,0.5,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,11
113,0.7,Slecht,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,32
115,0.3,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,0
117,0.5,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,16
119,0.7,Matig,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,41
121,0.3,Goed,0.6,TO-juli,Binnen goed,Noord,Tussenappartement enkelzijdig,1,LIVINGROOM,8
