,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Woningtype,Oriëntatie,Klimaatbestand,Ruimtetype,GTO
0,0.3,Slecht,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
1,0.3,Slecht,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
2,0.5,Slecht,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
3,0.5,Slecht,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,11
4,0.7,Slecht,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
5,0.7,Slecht,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,32
6,0.3,Matig,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
7,0.3,Matig,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
8,0.5,Matig,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
9,0.5,Matig,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,16
10,0.7,Matig,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
11,0.7,Matig,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,41
12,0.3,Goed,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
13,0.3,Goed,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,8
14,0.5,Goed,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
15,0.5,Goed,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,29
16,0.7,Goed,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
17,0.7,Goed,0.6,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,76
18,0.3,Slecht,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
19,0.3,Slecht,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
20,0.5,Slecht,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
21,0.5,Slecht,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
22,0.7,Slecht,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
23,0.7,Slecht,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
24,0.3,Matig,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
25,0.3,Matig,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
26,0.5,Matig,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
27,0.5,Matig,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
28,0.7,Matig,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
29,0.7,Matig,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
30,0.3,Goed,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
31,0.3,Goed,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
32,0.5,Goed,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
33,0.5,Goed,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
34,0.7,Goed,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
35,0.7,Goed,0.3,TO-juli,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,8
36,0.3,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
37,0.3,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
38,0.5,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
39,0.5,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,11
40,0.7,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
41,0.7,Slecht,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,33
42,0.3,Matig,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
43,0.3,Matig,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
44,0.5,Matig,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
45,0.5,Matig,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,16
46,0.7,Matig,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
47,0.7,Matig,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,39
48,0.3,Goed,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
49,0.3,Goed,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
50,0.5,Goed,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
51,0.5,Goed,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,22
52,0.7,Goed,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
53,0.7,Goed,0.6,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,59
54,0.3,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
55,0.3,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
56,0.5,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
57,0.5,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
58,0.7,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
59,0.7,Slecht,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
60,0.3,Matig,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
61,0.3,Matig,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
62,0.5,Matig,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
63,0.5,Matig,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,0
64,0.7,Matig,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
65,0.7,Matig,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,LIVINGROOM,1
66,0.3,Goed,0.3,21:00 tot 7:00,Binnen slecht,Tussenappartement enkelzijdig,Noord,1,BEDROOM,0
