,Glaspercentage,Isolatie/infiltratie,g-waarde glas,Spuiventilatie,Zonwering,Woningtype,Oriëntatie,Klimaatbestand,Ruimtetype,GTO
0,0,0,0,0,0,0,0,0,BEDROOM,0
1,0,0,0,0,0,0,0,0,LIVINGROOM,0
2,1,0,0,0,0,0,0,0,BEDROOM,0
3,1,0,0,0,0,0,0,0,LIVINGROOM,11
4,2,0,0,0,0,0,0,0,BEDROOM,0
5,2,0,0,0,0,0,0,0,LIVINGROOM,32
6,0,1,0,0,0,0,0,0,BEDROOM,0
7,0,1,0,0,0,0,0,0,LIVINGROOM,0
8,1,1,0,0,0,0,0,0,BEDROOM,0
9,1,1,0,0,0,0,0,0,LIVINGROOM,16
10,2,1,0,0,0,0,0,0,BEDROOM,0
11,2,1,0,0,0,0,0,0,LIVINGROOM,41
12,0,2,0,0,0,0,0,0,BEDROOM,0
13,0,2,0,0,0,0,0,0,LIVINGROOM,8
14,1,2,0,0,0,0,0,0,BEDROOM,0
15,1,2,0,0,0,0,0,0,LIVINGROOM,29
16,2,2,0,0,0,0,0,0,BEDROOM,0
17,2,2,0,0,0,0,0,0,LIVINGROOM,76
18,0,0,1,0,0,0,0,0,BEDROOM,0
19,0,0,1,0,0,0,0,0,LIVINGROOM,0
20,1,0,1,0,0,0,0,0,BEDROOM,0
21,1,0,1,0,0,0,0,0,LIVINGROOM,0
22,2,0,1,0,0,0,0,0,BEDROOM,0
23,2,0,1,0,0,0,0,0,LIVINGROOM,1
24,0,1,1,0,0,0,0,0,BEDROOM,0
25,0,1,1,0,0,0,0,0,LIVINGROOM,0
26,1,1,1,0,0,0,0,0,BEDROOM,0
27,1,1,1,0,0,0,0,0,LIVINGROOM,0
28,2,1,1,0,0,0,0,0,BEDROOM,0
29,2,1,1,0,0,0,0,0,LIVINGROOM,1
30,0,2,1,0,0,0,0,0,BEDROOM,0
31,0,2,1,0,0,0,0,0,LIVINGROOM,0
32,1,2,1,0,0,0,0,0,BEDROOM,0
33,1,2,1,0,0,0,0,0,LIVINGROOM,0
34,2,2,1,0,0,0,0,0,BEDROOM,0
35,2,2,1,0,0,0,0,0,LIVINGROOM,8
36,0,0,0,1,0,0,0,0,BEDROOM,0
37,0,0,0,1,0,0,0,0,LIVINGROOM,0
38,1,0,0,1,0,0,0,0,BEDROOM,0
39,1,0,0,1,0,0,0,0,LIVINGROOM,11
40,2,0,0,1,0,0,0,0,BEDROOM,0
41,2,0,0,1,0,0,0,0,LIVINGROOM,33
42,0,1,0,1,0,0,0,0,BEDROOM,0
43,0,1,0,1,0,0,0,0,LIVINGROOM,0
44,1,1,0,1,0,0,0,0,BEDROOM,0
45,1,1,0,1,0,0,0,0,LIVINGROOM,16
